dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw,fold
covertype,msbm,0.1617175781903057,0.1300896297125133,1.4089448261379565,0.01289709933834926,,,,,883.9457569122314,0.770619144291596,0.45014402450867697,41.58670624222824,0.320475119782919,1
covertype,msbm,0.16240005513151373,0.13314508842506698,1.4546010941868608,0.01260371706251584,,,,,883.3096294403076,0.7742009113036907,0.46128725994161923,40.41762891174471,0.3129136513620715,2
covertype,msbm,0.1619993087168067,0.13673090512499228,1.4588072290776517,0.012464991893608834,,,,,866.6648631095886,0.7704378404876504,0.4477798971396505,41.87981513781473,0.3226579433479999,3
covertype,msbm,0.16191518734806007,0.12875123195228502,1.4370486649666103,0.013094976154786386,,,,,869.1123044490814,0.7722703040683028,0.4515000798693841,41.53600397543558,0.32077022419891865,4
covertype,msbm,0.16131241142068248,0.1305820776526332,1.4281424147695225,0.012765174268852774,,,,,875.7233792304993,0.7713776002413866,0.45417154649324354,41.122229096308715,0.31720605374814304,mean
german_credit,msbm,0.22572315995908868,0.7104834589718747,0.7201314255663729,0.032064647643035515,,,,,3.2871501445770264,0.3102733789372646,0.17029003462811187,45.116131067582344,0.1399833443091527,0
german_credit,msbm,0.23437536423399988,0.8203830719306522,0.6220233799538882,0.02217249319661385,,,,,3.27484393119812,0.2741763341012763,0.019533702547534726,92.87549648967176,0.25464263155374156,1
german_credit,msbm,0.20418566764893564,0.7306475015154134,0.7963521495392482,0.02575089482684423,,,,,3.593308687210083,0.31964753190996686,0.009317095303196021,97.08519717092003,0.31033043660677084,2
german_credit,msbm,0.2488391694870775,0.8213340921480556,0.6100750249754213,0.035770377407082,,,,,3.300095558166504,0.23994011978281682,-0.06812381360094122,128.39200616495646,0.30806393338375804,3
german_credit,msbm,0.2540951237324344,0.9202167795741262,0.7843659445174356,0.030502200497179555,,,,,3.244157552719116,0.4364218121971245,0.07399582272549377,83.0448844082818,0.36242598947163074,4
german_credit,msbm,0.23344369701230722,0.8006129808280245,0.7065895849104733,0.02925212271415103,,,,,3.33991117477417,0.3160918353856898,0.041002568320679035,89.30274306028248,0.2750892670650108,mean
