dataset,model,Continuous_Mean_WD,Continuous_Mean_KL_50bins,Continuous_Corr_Pearson,mmd,Discrete_Mean_KL,Discrete_Corr_Spearman,Categorical_Mean_KL,Categorical_NMI,fit_time,tstr_f1_real,tstr_f1_synth,tstr_f1_deviation_%,tstr_f1_diff_raw,fold,tstr_r2_real,tstr_r2_synth,tstr_r2_deviation_%,tstr_r2_diff_raw
House Sales,msbm,0.241590583106763,0.6547859338979852,3.516592585958126,0.028856657229114346,0.014954680332627392,0.5684076885697568,0.21128710271188522,0.0,897.7666699886322,,,,,3,0.9071804668968291,0.4836048569206739,-46.691438521055275,-0.4235756099761552
House Sales,msbm,0.23236652664669247,0.6330793977109311,3.423135471371771,0.02949752716343068,0.00879445839674904,0.5990730869298198,0.20694476021353875,0.0,848.7515697479248,,,,,4,0.9033119169214783,0.47088884439885637,-47.87084775725492,-0.4324230725226219
House Sales,msbm,0.23727092841626737,0.6455340380488265,3.4810149383726303,0.028824025627318273,0.011695424031717508,0.5521940725683567,0.23900382792887878,0.0,879.0961716175079,,,,,mean,0.9030324247800688,0.4994514623928204,-44.69030722903498,-0.4035809623872484
Cardiovascular Disease,msbm,0.13793579322167032,0.1504888700804065,0.44891903881456036,0.0050408560970742755,0.014282945814276927,1.6884384682932725,,,404.20073986053467,0.7354885634015306,0.7097794582561793,-3.495513924302279,-0.025709105145351296,0,,,,
Cardiovascular Disease,msbm,0.10896959897053264,0.10050909241260604,0.3938343980207972,0.003005952371717524,0.014924483484853842,0.8919717611587853,,,409.92592668533325,0.733077126610212,0.6953248984037423,-5.149830329727781,-0.03775222820646962,1,,,,
Cardiovascular Disease,msbm,0.09945955287300014,0.12984748043561803,0.4384030816639388,0.0033293085412680057,0.013114527708686721,0.7850637686294208,,,406.35187125205994,0.7406638672842869,0.6749478409703269,-8.872584341789743,-0.06571602631396001,2,,,,
Cardiovascular Disease,msbm,0.12486578657303475,0.11094976452745824,0.397152356756854,0.0045886325793060845,0.007354897232100118,0.8322689464051364,,,402.6483225822449,0.7347937616992068,0.7084123020215292,-3.590321672937274,-0.026381459677677688,3,,,,
Cardiovascular Disease,msbm,0.16777718094563493,0.1265332554654282,0.3418933610166378,0.0076784893773441665,0.008069764229714702,1.0722020486276873,,,463.1244125366211,0.7367733421155278,0.6957129455287157,-5.573002474399214,-0.04106039658681215,4,,,,
Cardiovascular Disease,msbm,0.12780158251677456,0.1236656925843034,0.4040404472545577,0.004728647793342011,0.011549323693926462,1.0539889986228606,,,417.25025458335875,0.7361593322221528,0.6968354890360986,-5.336250548631258,-0.039323843186054155,mean,,,,
Churn Modelling,msbm,0.1682032627572546,0.3595508340229708,0.12225049904220565,0.0036633487328712744,0.002018205116928457,0.2378865110469635,0.0006518911611214711,0.00046419768404369903,12.339854001998901,0.758575397397012,0.443052074631022,-41.59419404434706,-0.31552332276599,0,,,,
Churn Modelling,msbm,0.18925776984561324,0.38521346306801585,0.08303402359283331,0.005394062819766232,0.0017685017299535854,0.25800643767515263,0.00027743083305245466,0.0009191098637108459,12.503241062164307,0.7417401008301017,0.4454534299518873,-39.94480958311838,-0.29628667087821436,1,,,,
Churn Modelling,msbm,0.17337959126222438,0.348284882245227,0.10617431223083443,0.004378186443127652,0.00277840259059695,0.20023796969550325,0.0005657709530977025,0.0009328095642825647,12.25947880744934,0.7653137177634748,0.4476641582536488,-41.505797183162166,-0.317649559509826,2,,,,
Churn Modelling,msbm,0.1734867662034465,0.3730649688267227,0.07165939327227824,0.004204983241766158,0.0021002548839309286,0.2376798765764059,0.0003995052268434725,0.0024742261988804273,12.652355670928955,0.7788169868554096,0.44320712694877507,-43.09226244046238,-0.3356098599066345,3,,,,
